Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,sampleNum
F,0.595,0.47,0.155,1.121,0.4515,0.178,0.155,11,999
F,0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,10,654
F,0.655,0.505,0.195,1.4405,0.688,0.3805,0.363,11,1724
I,0.51,0.405,0.125,0.6795,0.3465,0.1395,0.182,8,1104
M,0.385,0.305,0.09,0.2775,0.109,0.0515,0.1,9,3221
F,0.435,0.335,0.11,0.38,0.1695,0.086,0.11,9,533
F,0.695,0.53,0.2,2.0475,0.75,0.4195,0.6095,14,2542
I,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,5,241
M,0.38,0.27,0.095,0.219,0.0835,0.0515,0.07,6,3905
M,0.69,0.54,0.185,1.6195,0.533,0.353,0.555,24,3280
F,0.595,0.48,0.16,1.2095,0.5225,0.296,0.32,8,859
M,0.525,0.41,0.165,0.8005,0.2635,0.1985,0.25,13,3946
I,0.52,0.41,0.14,0.699,0.3395,0.129,0.1945,10,3757
F,0.605,0.495,0.19,1.437,0.469,0.2655,0.41,15,757
F,0.635,0.52,0.165,1.3405,0.5065,0.296,0.412,11,1944
I,0.36,0.265,0.085,0.1865,0.0675,0.037,0.0615,7,3746
M,0.52,0.395,0.125,0.5815,0.2565,0.1265,0.17,10,4004
I,0.59,0.46,0.125,0.755,0.334,0.15,0.238,9,2914
M,0.655,0.545,0.19,1.4245,0.6325,0.333,0.378,10,1814
M,0.585,0.475,0.15,1.065,0.5315,0.199,0.2885,10,1345
M,0.645,0.5,0.16,1.3815,0.672,0.326,0.315,9,1810
I,0.135,0.13,0.04,0.029,0.0125,0.0065,0.008,4,1986
I,0.485,0.38,0.125,0.5215,0.2215,0.118,0.16,8,2745
M,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15,150
F,0.6,0.465,0.155,1.04,0.4755,0.25,0.28,11,1355
M,0.59,0.46,0.155,0.906,0.327,0.1485,0.335,15,2331
I,0.5,0.38,0.11,0.494,0.218,0.09,0.1325,7,2576
M,0.61,0.46,0.16,1.0,0.494,0.197,0.275,10,1368
I,0.44,0.32,0.105,0.3875,0.1755,0.074,0.12,9,3018
F,0.66,0.505,0.19,1.4045,0.6255,0.3375,0.3745,9,2804
M,0.61,0.48,0.165,1.244,0.6345,0.257,0.305,12,1364
F,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,16,657
I,0.575,0.435,0.13,0.805,0.3155,0.2155,0.245,10,1141
M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8,216
M,0.665,0.535,0.195,1.606,0.5755,0.388,0.48,14,95
F,0.635,0.485,0.155,1.073,0.467,0.1975,0.35,11,4095
M,0.715,0.545,0.18,1.7405,0.871,0.347,0.449,10,3519
F,0.45,0.365,0.115,0.5885,0.318,0.121,0.1325,8,3807
M,0.585,0.455,0.125,1.027,0.391,0.212,0.25,17,2357
I,0.405,0.305,0.1,0.271,0.0965,0.061,0.091,7,2727
I,0.46,0.35,0.11,0.3945,0.1685,0.0865,0.125,9,2142
M,0.645,0.5,0.175,1.3385,0.633,0.299,0.349,11,1028
F,0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935,10,2089
F,0.51,0.38,0.13,0.584,0.224,0.1355,0.185,13,3351
M,0.645,0.48,0.15,1.192,0.6055,0.2595,0.285,9,2690
I,0.54,0.415,0.11,0.619,0.2755,0.15,0.1765,10,2895
I,0.475,0.36,0.11,0.452,0.191,0.099,0.13,8,3753
M,0.665,0.54,0.175,1.347,0.4955,0.254,0.415,17,477
F,0.525,0.425,0.14,0.8735,0.4205,0.182,0.2225,10,3652
I,0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,7,2568
I,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,6,394
M,0.73,0.595,0.23,2.8255,1.1465,0.419,0.897,17,891
M,0.475,0.365,0.14,0.6175,0.202,0.1445,0.19,16,3947
F,0.515,0.395,0.135,0.516,0.2015,0.132,0.162,9,2751
M,0.59,0.5,0.2,1.187,0.412,0.2705,0.37,16,271
I,0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405,6,1066
M,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245,10,2092
M,0.775,0.57,0.22,2.032,0.735,0.4755,0.6585,17,2090
I,0.525,0.38,0.135,0.615,0.261,0.159,0.175,8,1593
I,0.49,0.4,0.135,0.624,0.3035,0.1285,0.169,8,1577
M,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,7,636
M,0.565,0.415,0.125,0.667,0.302,0.1545,0.185,7,1889
M,0.57,0.48,0.175,1.185,0.474,0.261,0.38,11,73
I,0.485,0.37,0.115,0.637,0.38,0.1335,0.128,7,3485
F,0.5,0.39,0.13,0.6355,0.2505,0.1635,0.195,15,3867
M,0.575,0.47,0.165,0.853,0.292,0.179,0.35,16,3904
I,0.165,0.115,0.015,0.0145,0.0055,0.003,0.005,4,2169
M,0.175,0.135,0.04,0.0305,0.011,0.0075,0.01,5,2380
F,0.455,0.35,0.12,0.4555,0.1945,0.1045,0.1375,7,2566
M,0.735,0.585,0.185,2.124,0.952,0.55,0.5,11,1204
F,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425,19,2277
F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13,159
I,0.43,0.32,0.11,0.3675,0.1675,0.102,0.105,8,2009
I,0.505,0.355,0.125,0.601,0.25,0.1205,0.185,8,964
I,0.46,0.35,0.1,0.471,0.252,0.077,0.123,8,2741
I,0.455,0.36,0.115,0.457,0.2085,0.0855,0.147,10,1563
M,0.61,0.47,0.17,1.1185,0.5225,0.2405,0.31,9,1674
M,0.505,0.4,0.15,0.775,0.3445,0.157,0.185,7,3727
F,0.45,0.35,0.135,0.56,0.231,0.137,0.145,13,3227
F,0.705,0.53,0.17,1.564,0.612,0.394,0.44,10,3712
I,0.5,0.38,0.155,0.6675,0.2745,0.156,0.18,12,3927
F,0.62,0.475,0.16,1.1295,0.463,0.2685,0.33,10,1379
M,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,15,28
F,0.37,0.29,0.115,0.25,0.111,0.057,0.075,9,591
M,0.385,0.295,0.095,0.335,0.147,0.094,0.09,7,2124
M,0.575,0.46,0.155,0.892,0.4415,0.176,0.22,10,1336
M,0.64,0.565,0.23,1.521,0.644,0.372,0.406,15,1394
F,0.61,0.45,0.16,1.136,0.414,0.311,0.3,9,2165
M,0.72,0.6,0.235,2.2385,0.984,0.411,0.621,12,3993
I,0.525,0.4,0.13,0.6445,0.345,0.1285,0.2,8,2756
I,0.545,0.405,0.13,0.658,0.327,0.1445,0.174,8,4060
F,0.57,0.445,0.15,0.995,0.504,0.185,0.2505,9,2587
F,0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,11,1381
F,0.64,0.5,0.17,1.12,0.4955,0.2645,0.32,12,3619
M,0.55,0.45,0.155,0.7895,0.343,0.159,0.25,12,2361
M,0.595,0.46,0.155,1.03,0.4275,0.207,0.3305,10,3821
I,0.46,0.355,0.14,0.4935,0.216,0.133,0.115,13,583
I,0.475,0.36,0.125,0.4905,0.205,0.1305,0.125,8,1571
F,0.61,0.495,0.16,1.089,0.469,0.198,0.384,11,3055
I,0.555,0.43,0.14,0.7665,0.341,0.165,0.23,9,1318
I,0.465,0.37,0.115,0.534,0.261,0.098,0.143,7,942
M,0.46,0.36,0.135,0.6105,0.1955,0.107,0.235,14,2484
I,0.255,0.185,0.06,0.088,0.0365,0.021,0.023,5,813
I,0.58,0.445,0.125,0.7095,0.303,0.1405,0.235,9,1646
I,0.315,0.235,0.075,0.1285,0.051,0.028,0.0405,4,2865
M,0.575,0.435,0.135,0.992,0.432,0.2225,0.239,10,1901
F,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,13,161
I,0.46,0.34,0.09,0.384,0.1795,0.068,0.11,8,3543
F,0.37,0.275,0.08,0.227,0.093,0.0625,0.07,8,2468
M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8,57
F,0.485,0.365,0.12,0.5885,0.27,0.131,0.175,9,400
F,0.49,0.4,0.145,0.6635,0.21,0.1295,0.2515,13,2486
M,0.615,0.455,0.13,0.9685,0.49,0.182,0.2655,10,3781
I,0.47,0.375,0.125,0.5225,0.2265,0.104,0.162,8,3023
I,0.37,0.29,0.1,0.25,0.1025,0.0505,0.085,10,2100
I,0.63,0.49,0.17,1.217,0.5515,0.212,0.31,11,3688
F,0.55,0.435,0.17,0.884,0.2875,0.1645,0.28,14,2446
I,0.42,0.32,0.115,0.409,0.2055,0.0935,0.105,8,3974
F,0.53,0.42,0.14,0.627,0.2905,0.1165,0.183,8,3489
I,0.53,0.395,0.13,0.575,0.247,0.115,0.183,9,1872
F,0.505,0.385,0.115,0.616,0.243,0.1075,0.21,11,2093
M,0.67,0.525,0.17,1.4005,0.715,0.3025,0.387,9,2964
I,0.495,0.33,0.1,0.44,0.177,0.095,0.15,7,3025
M,0.635,0.495,0.195,1.172,0.445,0.3115,0.3475,11,1807
F,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665,16,2208
M,0.595,0.435,0.16,1.057,0.4255,0.224,0.31,9,2841
I,0.325,0.245,0.075,0.1495,0.0605,0.033,0.045,5,3196
M,0.535,0.435,0.155,0.8915,0.3415,0.177,0.25,13,2316
F,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,22,351
I,0.5,0.39,0.125,0.583,0.294,0.132,0.1605,8,2647
M,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10,103
I,0.45,0.35,0.11,0.514,0.253,0.1045,0.14,8,3541
M,0.695,0.57,0.23,1.885,0.8665,0.435,0.5,19,2366
F,0.63,0.5,0.16,1.22,0.4905,0.3,0.345,14,3294
I,0.475,0.375,0.115,0.5205,0.233,0.119,0.1455,7,2642
M,0.295,0.215,0.075,0.129,0.05,0.0295,0.04,7,655
M,0.645,0.49,0.175,1.32,0.6525,0.2375,0.3385,11,1956
F,0.55,0.43,0.14,0.84,0.375,0.218,0.1945,8,1473
M,0.645,0.505,0.185,1.463,0.592,0.3905,0.416,10,3002
M,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10,751
F,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,14,414
F,0.725,0.53,0.19,1.7315,0.83,0.398,0.405,11,2706
F,0.64,0.54,0.175,1.221,0.51,0.259,0.39,15,456
I,0.22,0.16,0.05,0.049,0.0215,0.01,0.015,4,2626
F,0.655,0.54,0.215,1.5555,0.695,0.296,0.444,11,1514
M,0.445,0.37,0.125,0.515,0.2495,0.087,0.159,9,3847
I,0.61,0.475,0.15,0.9665,0.4145,0.2,0.345,10,574
F,0.64,0.505,0.175,1.3185,0.6185,0.302,0.3315,9,4117
M,0.605,0.49,0.18,1.167,0.457,0.29,0.3745,9,2924
M,0.65,0.495,0.18,1.793,0.8005,0.339,0.53,14,2254
F,0.405,0.31,0.12,0.3095,0.138,0.058,0.095,13,589
I,0.66,0.525,0.215,1.786,0.6725,0.3615,0.4065,11,2537
M,0.655,0.59,0.2,1.5455,0.654,0.3765,0.415,11,2250
F,0.59,0.45,0.16,0.9,0.358,0.156,0.315,19,642
M,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06,10,565
M,0.645,0.52,0.175,1.636,0.779,0.342,0.432,11,1025
F,0.52,0.395,0.18,0.64,0.158,0.11,0.245,22,675
M,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,12,386
M,0.64,0.485,0.16,1.006,0.456,0.2245,0.2835,9,3000
F,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,20,2358
I,0.5,0.385,0.15,0.6265,0.2605,0.1665,0.16,10,555
M,0.465,0.36,0.08,0.488,0.191,0.125,0.155,11,724
M,0.615,0.495,0.155,1.2865,0.435,0.293,0.3245,11,3126
F,0.595,0.43,0.21,1.5245,0.653,0.396,0.41,11,2993
M,0.26,0.2,0.065,0.096,0.044,0.027,0.03,6,2424
I,0.36,0.28,0.105,0.199,0.0695,0.045,0.08,9,457
F,0.51,0.34,0.18,0.7005,0.312,0.165,0.2,11,3331
I,0.555,0.425,0.18,0.875,0.3695,0.2005,0.255,11,549
F,0.62,0.47,0.225,1.115,0.378,0.2145,0.36,15,502
F,0.585,0.45,0.16,0.9045,0.405,0.2215,0.2335,8,2591
M,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,8,267
M,0.55,0.42,0.16,1.3405,0.6325,0.311,0.344,10,1791
F,0.55,0.43,0.15,0.84,0.395,0.195,0.223,8,1124
F,0.68,0.55,0.2,1.596,0.525,0.4075,0.585,21,2199
F,0.385,0.315,0.11,0.286,0.1225,0.0635,0.0835,10,601
I,0.34,0.255,0.075,0.18,0.0745,0.04,0.0525,6,2505
M,0.555,0.455,0.135,0.837,0.382,0.171,0.235,9,1886
F,0.72,0.56,0.175,1.7265,0.637,0.3415,0.525,17,2353
M,0.645,0.51,0.19,1.4865,0.6445,0.296,0.425,12,3691
M,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,9,3460
M,0.685,0.52,0.15,1.343,0.4635,0.292,0.4,13,374
M,0.695,0.53,0.15,1.477,0.6375,0.3025,0.43,14,3238
I,0.575,0.475,0.17,0.967,0.3775,0.284,0.275,13,3328
M,0.74,0.605,0.2,2.4925,1.1455,0.575,0.5235,13,3427
M,0.485,0.39,0.12,0.599,0.251,0.1345,0.169,8,3978
I,0.565,0.46,0.155,0.8715,0.3755,0.215,0.25,10,1893
F,0.61,0.48,0.16,1.234,0.598,0.238,0.315,12,3456
F,0.605,0.45,0.165,1.2225,0.357,0.202,0.385,13,3395
I,0.4,0.295,0.095,0.252,0.1105,0.0575,0.066,6,3971
I,0.57,0.445,0.145,0.7405,0.306,0.172,0.1825,12,1631
M,0.495,0.415,0.165,0.7485,0.264,0.134,0.285,13,2257
M,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,18,277
I,0.51,0.405,0.12,0.61,0.229,0.131,0.235,11,3175
M,0.63,0.49,0.155,1.2525,0.63,0.246,0.289,9,1942
M,0.62,0.47,0.145,1.0865,0.511,0.2715,0.2565,10,1804
I,0.33,0.23,0.085,0.1695,0.079,0.026,0.0505,6,3525
I,0.315,0.23,0.07,0.164,0.0625,0.04,0.045,6,3967
F,0.65,0.495,0.155,1.337,0.615,0.3195,0.335,9,1717
M,0.57,0.445,0.16,1.0145,0.516,0.164,0.3,10,4083
M,0.42,0.325,0.115,0.2885,0.1,0.057,0.1135,15,542
I,0.54,0.425,0.13,0.8155,0.3675,0.1365,0.246,11,2894
F,0.61,0.48,0.19,1.2955,0.5215,0.3225,0.365,12,3233
M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11,12
M,0.525,0.4,0.17,0.7305,0.279,0.2055,0.195,11,688
F,0.73,0.575,0.185,1.8795,0.931,0.38,0.4825,12,1203
I,0.425,0.34,0.1,0.3515,0.1625,0.082,0.094,7,2634
F,0.62,0.495,0.17,1.062,0.372,0.213,0.34,11,1932
F,0.45,0.36,0.11,0.447,0.203,0.082,0.13,12,3871
I,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,8,1097
F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15,31
F,0.475,0.35,0.115,0.487,0.194,0.1455,0.125,13,3385
F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8,37
I,0.3,0.23,0.095,0.1385,0.056,0.0365,0.037,6,901
M,0.65,0.525,0.175,1.4715,0.675,0.315,0.399,11,880
I,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,8,1087
M,0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02,4,3906
M,0.66,0.545,0.185,1.32,0.5305,0.2635,0.455,16,479
I,0.385,0.3,0.1,0.2895,0.1215,0.063,0.09,7,824
M,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,6,950
I,0.515,0.39,0.14,0.5555,0.2,0.1135,0.2235,12,604
F,0.655,0.505,0.19,1.3485,0.5935,0.2745,0.425,12,1723
F,0.5,0.38,0.14,0.6355,0.277,0.143,0.1785,8,2061
I,0.385,0.29,0.095,0.312,0.143,0.0635,0.086,6,823
I,0.415,0.325,0.1,0.385,0.167,0.08,0.125,7,2298
F,0.655,0.455,0.17,1.2895,0.587,0.3165,0.3415,11,3071
F,0.585,0.455,0.165,0.998,0.345,0.2495,0.315,12,2249
I,0.625,0.47,0.155,1.1955,0.643,0.2055,0.3145,12,1691
F,0.625,0.49,0.2,1.3825,0.5895,0.285,0.381,11,874
F,0.505,0.38,0.145,0.651,0.2935,0.19,0.17,12,2413
F,0.57,0.465,0.155,0.872,0.3245,0.239,0.285,14,3170
I,0.315,0.24,0.085,0.1715,0.071,0.0345,0.0535,7,814
M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11,143
M,0.605,0.475,0.15,1.15,0.575,0.232,0.297,10,1801
M,0.63,0.495,0.16,1.093,0.497,0.221,0.315,12,1388
M,0.53,0.41,0.125,0.769,0.346,0.173,0.215,9,3655
M,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03,5,697
I,0.32,0.255,0.1,0.1755,0.073,0.0415,0.065,7,326
F,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,7,3450
F,0.38,0.29,0.105,0.257,0.099,0.051,0.085,10,544
M,0.375,0.29,0.1,0.276,0.1175,0.0565,0.085,9,2103
M,0.4,0.315,0.105,0.287,0.1135,0.037,0.113,10,2415
F,0.63,0.495,0.145,1.147,0.5455,0.266,0.2885,9,2610
M,0.58,0.455,0.15,1.114,0.4765,0.2155,0.265,8,1144
F,0.69,0.54,0.185,1.5715,0.6935,0.318,0.47,15,3239
I,0.54,0.425,0.13,0.7205,0.2955,0.169,0.225,10,1606
I,0.33,0.23,0.08,0.14,0.0565,0.0365,0.046,7,4150
M,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13,70
M,0.6,0.475,0.155,1.1385,0.502,0.2295,0.31,9,3455
F,0.7,0.535,0.175,1.773,0.6805,0.48,0.512,15,1747
I,0.575,0.44,0.15,0.983,0.486,0.215,0.239,8,3666
F,0.29,0.225,0.075,0.14,0.0515,0.0235,0.04,5,2206
M,0.475,0.395,0.135,0.592,0.2465,0.1645,0.2,13,2327
I,0.665,0.5,0.17,1.2975,0.6035,0.291,0.3595,9,1184
I,0.375,0.29,0.14,0.3,0.14,0.0625,0.0825,8,2721
M,0.44,0.35,0.11,0.4585,0.2,0.0885,0.13,9,2133
F,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,27,2209
M,0.345,0.27,0.09,0.195,0.078,0.0455,0.059,9,606
I,0.35,0.265,0.08,0.2,0.09,0.042,0.06,7,1828
F,0.57,0.495,0.16,1.0915,0.452,0.275,0.315,14,3214
F,0.595,0.485,0.145,1.2515,0.5035,0.2925,0.33,14,3262
I,0.395,0.31,0.095,0.313,0.131,0.072,0.093,7,3409
F,0.545,0.43,0.14,0.832,0.4355,0.17,0.201,9,2654
M,0.565,0.455,0.15,0.9795,0.444,0.205,0.275,8,3981
F,0.59,0.455,0.145,1.063,0.5155,0.2445,0.25,8,998
F,0.7,0.545,0.13,1.556,0.6725,0.374,0.195,12,1416
M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7,54
I,0.27,0.205,0.05,0.084,0.03,0.0185,0.029,6,3629
F,0.61,0.475,0.14,1.133,0.5275,0.2355,0.35,11,575
M,0.515,0.39,0.155,0.7125,0.3695,0.137,0.155,7,971
F,0.715,0.525,0.185,1.56,0.6655,0.383,0.405,11,1050
I,0.37,0.29,0.09,0.2445,0.089,0.0655,0.075,7,1232
I,0.54,0.415,0.135,0.709,0.3195,0.174,0.185,9,4125
F,0.55,0.425,0.145,0.797,0.297,0.15,0.265,9,2224
I,0.475,0.375,0.11,0.456,0.182,0.099,0.16,9,3024
F,0.435,0.35,0.11,0.384,0.143,0.1005,0.125,13,2310
I,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,8,1287
F,0.62,0.5,0.17,1.148,0.5475,0.22,0.3315,10,2996
F,0.7,0.525,0.19,1.6015,0.707,0.365,0.43,10,2543
M,0.625,0.5,0.175,1.0565,0.4615,0.258,0.305,10,4051
M,0.5,0.375,0.15,0.636,0.2535,0.145,0.19,10,690
F,0.545,0.435,0.15,0.6855,0.2905,0.145,0.225,10,3329
M,0.58,0.49,0.13,1.1335,0.586,0.2565,0.237,9,995
I,0.37,0.29,0.095,0.249,0.1045,0.058,0.067,6,913
F,0.6,0.465,0.165,0.8875,0.309,0.246,0.262,12,789
M,0.645,0.51,0.155,1.539,0.6405,0.3585,0.43,11,1508
M,0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044,9,618
F,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,10,662
I,0.575,0.45,0.135,0.8715,0.45,0.162,0.225,10,1905
F,0.595,0.44,0.135,0.964,0.5005,0.1715,0.2575,10,3672
I,0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225,9,1319
I,0.29,0.215,0.065,0.0985,0.0425,0.021,0.031,5,2714
I,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,7,1084
M,0.69,0.53,0.19,1.5955,0.678,0.331,0.48,10,3626
M,0.615,0.48,0.185,1.2205,0.4985,0.315,0.33,10,3780
I,0.575,0.455,0.155,0.8725,0.349,0.2095,0.285,8,3563
I,0.515,0.39,0.12,0.565,0.235,0.135,0.179,9,3756
M,0.49,0.465,0.125,0.5225,0.235,0.13,0.141,7,1098
I,0.455,0.335,0.105,0.422,0.229,0.0865,0.1,6,1770
I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6,124
M,0.64,0.515,0.08,1.042,0.515,0.1755,0.175,10,2801
M,0.475,0.375,0.125,0.593,0.277,0.115,0.18,10,391
I,0.36,0.275,0.075,0.2205,0.0985,0.044,0.066,7,1541
F,0.46,0.35,0.115,0.46,0.2025,0.1115,0.1165,6,2567
I,0.355,0.27,0.1,0.216,0.083,0.037,0.075,10,3911
F,0.64,0.48,0.195,1.1435,0.4915,0.2345,0.353,9,3465
F,0.745,0.585,0.19,1.966,0.8435,0.437,0.5855,18,2151
M,0.465,0.355,0.12,0.5315,0.2725,0.097,0.1395,8,3816
I,0.52,0.4,0.145,0.66,0.267,0.1055,0.22,13,559
F,0.615,0.475,0.155,1.004,0.4475,0.193,0.2895,10,1369
F,0.63,0.495,0.2,1.4255,0.659,0.336,0.38,11,2609
F,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,13,269
M,0.475,0.375,0.12,0.563,0.2525,0.1205,0.185,10,2291
I,0.605,0.47,0.145,0.8025,0.379,0.2265,0.22,9,1664
F,0.55,0.38,0.165,1.205,0.543,0.294,0.3345,10,1790
M,0.56,0.415,0.13,0.7615,0.3695,0.17,0.1955,8,3495
M,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,11,29
M,0.7,0.6,0.23,2.003,0.8105,0.4045,0.5755,10,3992
M,0.52,0.385,0.14,0.6595,0.2485,0.2035,0.16,9,747
M,0.63,0.48,0.185,1.21,0.53,0.2555,0.322,11,3985
F,0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29,7,991
M,0.625,0.495,0.155,1.025,0.46,0.1945,0.34,9,4049
M,0.555,0.41,0.125,0.599,0.2345,0.1465,0.194,8,1883
F,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,12,2372
I,0.445,0.35,0.13,0.4195,0.1695,0.0945,0.1195,7,932
F,0.6,0.47,0.17,1.0805,0.4995,0.2245,0.3205,9,3574
I,0.375,0.305,0.115,0.2715,0.092,0.074,0.09,8,348
F,0.535,0.4,0.135,0.8215,0.3935,0.196,0.205,8,977
M,0.53,0.44,0.205,0.835,0.32,0.2175,0.245,14,740
I,0.275,0.205,0.065,0.101,0.041,0.021,0.034,5,3744
M,0.58,0.46,0.155,1.4395,0.6715,0.273,0.2955,10,1337
I,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465,5,3716
M,0.72,0.57,0.2,1.8275,0.919,0.366,0.485,10,1753
M,0.64,0.505,0.18,1.297,0.59,0.3125,0.363,11,2950
M,0.54,0.405,0.155,0.9715,0.3225,0.194,0.29,19,3373
I,0.415,0.315,0.09,0.3625,0.175,0.0835,0.093,6,2509
I,0.31,0.225,0.05,0.1445,0.0675,0.0385,0.045,6,2116
M,0.505,0.385,0.15,0.6415,0.246,0.152,0.215,12,781
I,0.4,0.3,0.115,0.318,0.1335,0.0725,0.0935,6,4067
F,0.305,0.225,0.07,0.1485,0.0585,0.0335,0.045,7,3384
M,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,7,2170
I,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,6,3533
M,0.625,0.455,0.17,1.082,0.4955,0.2345,0.315,9,1380
F,0.69,0.525,0.19,1.492,0.6425,0.3905,0.42,12,3515
F,0.58,0.435,0.15,0.834,0.428,0.1515,0.23,8,1643
I,0.38,0.3,0.1,0.286,0.1305,0.056,0.09,7,3880
I,0.48,0.37,0.125,0.5435,0.244,0.101,0.165,9,1275
F,0.665,0.53,0.18,1.491,0.6345,0.342,0.435,10,1410
F,0.475,0.375,0.15,0.559,0.1955,0.1215,0.1945,12,3397
M,0.73,0.585,0.225,2.2305,1.2395,0.422,0.563,14,3007
F,0.605,0.48,0.14,0.991,0.4735,0.2345,0.24,8,1665
M,0.635,0.5,0.18,1.2915,0.594,0.2695,0.37,9,4097
I,0.315,0.235,0.075,0.1485,0.0585,0.0375,0.0425,6,903
M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10,117
I,0.595,0.46,0.15,0.8335,0.377,0.1925,0.235,8,1654
M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9,39
I,0.515,0.39,0.125,0.5705,0.238,0.1265,0.185,8,1588
M,0.38,0.285,0.1,0.2665,0.115,0.061,0.075,11,460
M,0.62,0.515,0.175,1.221,0.535,0.241,0.395,13,1680
I,0.5,0.385,0.12,0.56,0.2835,0.103,0.135,8,958
F,0.64,0.525,0.175,1.382,0.646,0.3115,0.37,9,4016
I,0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,8,1270
F,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15,280
I,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8,193
F,0.545,0.43,0.16,0.844,0.3945,0.1855,0.231,9,2068
F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9,2
M,0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185,10,3490
F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9,120
F,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,17,2345
M,0.655,0.53,0.175,1.2635,0.486,0.2635,0.415,15,493
I,0.33,0.26,0.08,0.19,0.0765,0.0385,0.065,7,2216
F,0.65,0.51,0.17,1.567,0.7245,0.349,0.391,10,1403
M,0.57,0.44,0.095,0.827,0.3395,0.2215,0.235,8,409
M,0.55,0.44,0.16,0.991,0.348,0.168,0.375,20,3944
F,0.615,0.475,0.155,1.027,0.447,0.25,0.285,9,1166
M,0.385,0.275,0.115,0.2685,0.0975,0.0825,0.085,8,772
M,0.625,0.495,0.175,1.2935,0.5805,0.317,0.355,9,4050
I,0.375,0.26,0.08,0.2075,0.09,0.0415,0.07,6,3010
I,0.35,0.25,0.07,0.1605,0.0715,0.0335,0.046,6,1999
F,0.48,0.39,0.125,0.6905,0.219,0.155,0.2,12,2500
I,0.56,0.445,0.165,1.0285,0.4535,0.253,0.275,11,3915
M,0.33,0.235,0.09,0.163,0.0615,0.034,0.055,10,3371
M,0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195,7,619
I,0.355,0.28,0.1,0.2275,0.0935,0.0455,0.085,11,2244
