Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,Sex_I,Sex_M,sampleNum
0.505,0.39,0.185,0.6125,0.267,0.142,0.172,7,True,False,2519
0.615,0.475,0.175,1.224,0.6035,0.261,0.311,9,False,True,1677
0.595,0.465,0.145,1.107,0.402,0.2415,0.31,12,False,False,3269
0.55,0.44,0.125,0.765,0.33,0.2125,0.245,9,False,False,3163
0.63,0.485,0.155,1.278,0.637,0.275,0.31,8,False,True,1016
0.425,0.31,0.105,0.365,0.159,0.0825,0.105,6,True,False,2511
0.735,0.59,0.205,2.087,0.909,0.474,0.625,12,False,True,2973
0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185,10,False,True,3490
0.525,0.425,0.125,0.812,0.4035,0.1705,0.195,8,False,True,2580
0.66,0.525,0.215,1.786,0.6725,0.3615,0.4065,11,True,False,2537
0.575,0.43,0.13,0.7425,0.2895,0.2005,0.22,8,True,False,3042
0.49,0.39,0.135,0.592,0.242,0.096,0.1835,15,False,True,2489
0.59,0.455,0.15,0.976,0.465,0.2055,0.2765,10,False,False,2839
0.58,0.46,0.155,1.4395,0.6715,0.273,0.2955,10,False,True,1337
0.335,0.265,0.105,0.222,0.0935,0.056,0.075,7,False,True,324
0.345,0.285,0.1,0.2225,0.0865,0.058,0.075,8,True,False,3236
0.635,0.495,0.175,1.211,0.707,0.2725,0.323,9,False,False,1391
0.335,0.26,0.1,0.192,0.0785,0.0585,0.07,8,True,False,441
0.605,0.475,0.165,1.056,0.433,0.2195,0.357,9,False,False,1160
0.54,0.41,0.145,0.989,0.2815,0.213,0.355,19,False,True,2499
0.55,0.46,0.13,0.7085,0.305,0.1455,0.205,12,False,True,3287
0.38,0.3,0.09,0.3215,0.1545,0.075,0.095,9,False,False,2292
0.655,0.5,0.205,1.528,0.6215,0.3725,0.4535,11,False,False,2957
0.555,0.445,0.175,1.1465,0.551,0.244,0.2785,8,False,False,2766
0.675,0.52,0.145,1.3645,0.557,0.3405,0.385,11,False,True,3074
0.29,0.21,0.06,0.1045,0.0415,0.022,0.035,5,True,False,2628
0.48,0.4,0.125,0.759,0.2125,0.179,0.24,15,False,False,807
0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,19,False,False,582
0.44,0.375,0.13,0.487,0.226,0.0965,0.155,9,False,True,2280
0.645,0.505,0.165,1.4325,0.684,0.308,0.336,8,False,False,1027
0.47,0.36,0.11,0.4965,0.237,0.127,0.13,6,False,False,3186
0.625,0.5,0.14,1.096,0.5445,0.2165,0.295,10,False,True,2791
0.655,0.52,0.175,1.472,0.6275,0.27,0.45,13,False,False,3792
0.52,0.465,0.15,0.9505,0.456,0.199,0.255,8,False,True,2890
0.61,0.46,0.155,0.957,0.4255,0.1975,0.265,8,False,False,1924
0.56,0.425,0.145,0.688,0.3095,0.1305,0.2165,9,True,False,1321
0.74,0.605,0.2,2.4925,1.1455,0.575,0.5235,13,False,True,3427
0.49,0.465,0.125,0.5225,0.235,0.13,0.141,7,False,True,1098
0.47,0.37,0.11,0.5555,0.25,0.115,0.163,8,True,False,2514
0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13,False,False,203
0.665,0.555,0.195,1.4385,0.581,0.354,0.36,17,False,False,452
0.625,0.48,0.16,1.1415,0.5795,0.2145,0.29,9,False,True,3581
0.505,0.39,0.12,0.5725,0.2555,0.1325,0.146,8,False,False,3447
0.665,0.54,0.195,1.764,0.8505,0.3615,0.47,11,False,False,3702
0.655,0.55,0.18,1.274,0.586,0.281,0.365,10,False,True,1721
0.42,0.32,0.11,0.309,0.115,0.0645,0.0945,6,True,False,3015
0.36,0.275,0.075,0.2205,0.0985,0.044,0.066,7,True,False,1541
0.45,0.33,0.1,0.411,0.1945,0.1,0.098,6,True,False,1090
0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,9,True,False,393
0.57,0.44,0.13,0.7665,0.347,0.1785,0.202,10,True,False,1332
0.575,0.47,0.15,1.1415,0.4515,0.204,0.4,13,False,True,2356
0.275,0.205,0.07,0.094,0.0335,0.02,0.0325,5,False,True,538
0.625,0.485,0.19,1.1745,0.4385,0.2305,0.42,17,False,False,504
0.585,0.455,0.165,0.998,0.345,0.2495,0.315,12,False,False,2249
0.465,0.405,0.135,0.7775,0.436,0.1715,0.1455,10,False,True,3116
0.405,0.305,0.1,0.268,0.1145,0.053,0.085,7,True,False,2729
0.69,0.54,0.185,1.5715,0.6935,0.318,0.47,15,False,False,3239
0.495,0.38,0.12,0.573,0.2655,0.1285,0.144,7,False,False,1462
0.6,0.48,0.09,1.05,0.457,0.2685,0.28,8,False,True,2782
0.62,0.5,0.17,1.148,0.5475,0.22,0.3315,10,False,False,2996
0.41,0.32,0.115,0.387,0.165,0.1005,0.0985,11,False,False,569
0.53,0.43,0.135,0.6255,0.245,0.1455,0.2135,10,True,False,1597
0.56,0.44,0.14,0.971,0.443,0.2045,0.265,14,False,True,311
0.585,0.475,0.165,1.053,0.458,0.217,0.3,11,False,False,4160
0.58,0.45,0.15,0.92,0.393,0.212,0.2895,9,False,False,2909
0.415,0.335,0.1,0.358,0.169,0.067,0.105,7,True,False,2733
0.445,0.33,0.1,0.437,0.163,0.0755,0.17,13,True,False,2400
0.51,0.405,0.125,0.6795,0.3465,0.1395,0.182,8,True,False,1104
0.565,0.455,0.175,1.013,0.342,0.207,0.35,19,False,False,293
0.63,0.5,0.18,1.1965,0.514,0.2325,0.3995,8,False,False,1695
0.275,0.205,0.08,0.096,0.036,0.0185,0.03,6,True,False,2447
0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,11,False,True,1032
0.485,0.375,0.13,0.5535,0.266,0.112,0.157,8,True,False,2643
0.425,0.34,0.1,0.382,0.164,0.096,0.1,6,True,False,923
0.595,0.47,0.15,0.8915,0.359,0.2105,0.245,12,False,True,2129
0.635,0.515,0.16,1.2075,0.5385,0.282,0.345,11,False,True,2949
0.73,0.575,0.185,1.8795,0.931,0.38,0.4825,12,False,False,1203
0.5,0.385,0.155,0.762,0.3795,0.161,0.19,14,True,False,2398
0.54,0.435,0.175,0.892,0.322,0.174,0.335,13,False,False,301
0.65,0.515,0.215,1.498,0.564,0.323,0.425,16,False,False,3929
0.59,0.445,0.14,0.931,0.356,0.234,0.28,12,False,True,27
0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10,False,True,30
0.61,0.475,0.165,1.116,0.428,0.2205,0.315,15,False,True,292
0.645,0.505,0.185,1.463,0.592,0.3905,0.416,10,False,True,3002
0.29,0.215,0.065,0.0985,0.0425,0.021,0.031,5,True,False,2714
0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175,8,False,True,2112
0.71,0.57,0.195,1.9805,0.9925,0.4925,0.48,12,False,False,1750
0.455,0.345,0.11,0.434,0.207,0.0855,0.1215,8,True,False,1772
0.515,0.38,0.12,0.625,0.3265,0.1295,0.16,7,True,False,1290
0.455,0.355,0.125,0.5325,0.225,0.126,0.1465,7,True,False,937
0.33,0.245,0.065,0.1445,0.058,0.032,0.0505,6,True,False,4024
0.355,0.26,0.09,0.1925,0.077,0.038,0.065,8,True,False,2485
0.535,0.415,0.15,0.5765,0.3595,0.135,0.225,8,True,False,1302
0.41,0.335,0.105,0.3305,0.1405,0.064,0.105,7,True,False,1835
0.535,0.455,0.14,1.0015,0.53,0.1765,0.244,9,True,False,1874
0.5,0.405,0.155,0.772,0.346,0.1535,0.245,12,False,True,195
0.43,0.34,0.11,0.3645,0.159,0.0855,0.105,7,True,False,2736
0.645,0.485,0.155,1.489,0.5915,0.312,0.38,18,False,True,2476
0.6,0.495,0.195,1.0575,0.384,0.19,0.375,26,False,True,294
0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375,10,False,False,847
0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10,False,False,24
0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10,False,True,199
0.565,0.44,0.155,0.868,0.348,0.217,0.26,11,False,True,3284
0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7,True,False,121
0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11,False,True,12
0.515,0.405,0.13,0.722,0.32,0.131,0.21,10,False,True,155
0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9,False,False,151
0.31,0.235,0.09,0.127,0.048,0.031,0.04,6,True,False,3376
0.335,0.22,0.07,0.17,0.076,0.0365,0.05,6,False,False,3161
0.505,0.385,0.12,0.6005,0.239,0.142,0.185,7,True,False,2577
0.28,0.22,0.08,0.1315,0.066,0.024,0.03,5,True,False,2550
0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,9,False,True,3398
0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10,True,False,224
0.625,0.48,0.175,1.065,0.4865,0.259,0.285,10,False,True,4014
0.46,0.355,0.14,0.491,0.207,0.115,0.174,10,False,True,3090
0.645,0.52,0.18,1.285,0.5775,0.352,0.317,9,False,False,2691
0.3,0.215,0.05,0.1185,0.048,0.0225,0.042,4,True,False,4119
0.64,0.5,0.175,1.394,0.4935,0.291,0.4,10,False,False,1023
0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535,11,False,True,3518
0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,10,False,False,654
0.535,0.4,0.135,0.6025,0.2895,0.121,0.154,9,True,False,1301
0.615,0.505,0.19,1.403,0.6715,0.2925,0.365,8,False,True,3459
0.165,0.115,0.015,0.0145,0.0055,0.003,0.005,4,True,False,2169
0.61,0.475,0.14,1.133,0.5275,0.2355,0.35,11,False,False,575
0.56,0.455,0.145,0.974,0.547,0.1615,0.235,9,True,False,1323
0.59,0.47,0.135,1.1685,0.539,0.279,0.28,8,False,True,3419
0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6,True,False,929
0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,8,False,False,627
0.41,0.315,0.095,0.306,0.121,0.0735,0.09,9,False,True,3361
0.625,0.46,0.16,1.2395,0.55,0.273,0.38,14,True,False,2394
0.54,0.41,0.13,0.56,0.2375,0.1065,0.175,7,False,True,3154
0.655,0.53,0.165,1.2835,0.583,0.1255,0.4,8,False,False,3593
0.58,0.44,0.175,1.2255,0.5405,0.2705,0.3265,10,False,True,2772
0.705,0.555,0.195,1.7525,0.7105,0.4215,0.516,12,False,False,3743
0.34,0.255,0.075,0.18,0.0745,0.04,0.0525,6,True,False,2505
0.54,0.435,0.14,0.7345,0.33,0.1595,0.213,9,False,True,2584
0.64,0.49,0.155,1.1285,0.477,0.269,0.34,9,False,True,1953
0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,11,False,False,1381
0.435,0.34,0.12,0.396,0.1775,0.081,0.125,8,True,False,3539
0.28,0.2,0.065,0.0895,0.036,0.0185,0.03,7,True,False,1990
0.23,0.165,0.06,0.0515,0.019,0.0145,0.036,4,True,False,1430
0.545,0.42,0.13,0.879,0.374,0.1695,0.23,13,False,True,731
0.445,0.355,0.15,0.485,0.181,0.125,0.155,11,False,False,223
0.725,0.53,0.19,1.7315,0.83,0.398,0.405,11,False,False,2706
0.595,0.455,0.15,0.886,0.4315,0.201,0.223,10,False,True,1914
0.4,0.315,0.09,0.3245,0.151,0.073,0.088,8,True,False,2872
0.565,0.43,0.13,0.784,0.3495,0.1885,0.213,9,False,True,2661
0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,9,False,True,2245
0.5,0.39,0.145,0.651,0.273,0.132,0.22,11,False,True,2096
0.31,0.225,0.075,0.155,0.065,0.037,0.0365,6,True,False,2552
0.55,0.41,0.15,0.785,0.282,0.186,0.275,12,False,True,3852
0.5,0.395,0.14,0.7155,0.3165,0.176,0.24,10,False,False,396
0.53,0.405,0.125,0.6515,0.2715,0.1605,0.186,7,False,True,976
0.6,0.5,0.17,1.13,0.4405,0.267,0.335,11,False,False,4135
0.525,0.405,0.16,0.792,0.316,0.1455,0.28,13,False,True,3171
0.565,0.47,0.195,1.142,0.387,0.258,0.35,17,False,True,2211
0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975,7,True,False,1089
0.57,0.455,0.175,1.02,0.4805,0.2145,0.29,9,False,True,1792
0.41,0.325,0.12,0.3745,0.158,0.081,0.125,12,False,True,3231
0.58,0.47,0.15,0.907,0.444,0.1855,0.2445,11,True,False,3569
0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10,False,False,107
0.385,0.315,0.11,0.286,0.1225,0.0635,0.0835,10,False,False,601
0.67,0.55,0.155,1.566,0.858,0.339,0.354,10,False,False,1737
0.595,0.465,0.125,0.799,0.3245,0.2,0.23,10,False,True,2173
0.565,0.49,0.155,0.9245,0.405,0.2195,0.255,11,False,False,453
0.325,0.25,0.08,0.1735,0.0765,0.0345,0.049,7,True,False,815
0.52,0.405,0.14,0.8175,0.2795,0.183,0.26,17,False,False,743
0.55,0.415,0.15,0.7915,0.3535,0.176,0.236,10,True,False,3661
0.255,0.185,0.06,0.088,0.0365,0.021,0.023,5,True,False,813
0.67,0.53,0.205,1.4015,0.643,0.2465,0.416,12,False,False,1969
0.53,0.4,0.125,0.617,0.279,0.127,0.19,8,True,False,1117
0.66,0.525,0.18,1.5965,0.7765,0.397,0.3605,10,False,False,2960
0.615,0.475,0.165,1.023,0.4905,0.1955,0.3035,12,False,False,1372
0.515,0.415,0.13,0.764,0.276,0.196,0.25,13,False,False,2217
0.58,0.455,0.12,0.94,0.399,0.257,0.265,11,False,False,2303
0.61,0.475,0.15,1.1135,0.5195,0.2575,0.3005,11,False,False,1802
0.325,0.225,0.075,0.139,0.0565,0.032,0.09,6,True,False,1219
0.48,0.37,0.135,0.6315,0.3445,0.1015,0.161,7,False,True,2517
0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,18,False,True,734
0.615,0.475,0.17,1.129,0.4795,0.302,0.3,10,False,True,1373
0.61,0.49,0.17,1.1775,0.5655,0.2385,0.295,15,False,False,3879
0.31,0.24,0.105,0.2885,0.118,0.065,0.083,6,True,False,2504
0.39,0.29,0.1,0.2225,0.095,0.0465,0.073,7,True,False,1553
0.51,0.395,0.155,0.5395,0.2465,0.1085,0.167,8,True,False,2650
0.465,0.355,0.12,0.5805,0.255,0.0915,0.184,8,True,False,3953
0.65,0.515,0.185,1.3745,0.75,0.1805,0.369,12,False,True,3588
0.215,0.155,0.06,0.0525,0.021,0.0165,0.015,5,True,False,784
0.35,0.28,0.075,0.196,0.082,0.04,0.064,8,True,False,3406
0.565,0.45,0.175,1.2365,0.5305,0.2455,0.308,10,False,False,3559
0.37,0.285,0.1,0.228,0.0675,0.0675,0.081,10,False,True,608
0.625,0.5,0.18,1.3705,0.645,0.303,0.3705,12,False,True,4091
0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,9,False,True,1037
0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415,8,False,True,4059
0.61,0.465,0.15,0.9605,0.4495,0.1725,0.286,9,True,False,1366
0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,6,True,False,1210
0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9,False,True,947
0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8,False,True,57
0.595,0.465,0.15,1.1005,0.5415,0.166,0.265,8,False,False,2672
0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615,7,True,False,4152
0.425,0.33,0.13,0.4405,0.152,0.0935,0.155,9,False,True,802
0.6,0.445,0.135,0.9205,0.445,0.2035,0.253,9,True,False,2918
0.575,0.45,0.1,0.9315,0.431,0.222,0.235,12,False,False,3888
0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10,False,True,146
0.6,0.5,0.155,1.332,0.6235,0.2835,0.35,8,False,False,2529
0.465,0.365,0.115,0.467,0.2315,0.0925,0.113,7,True,False,941
0.5,0.38,0.135,0.5285,0.226,0.123,0.209,8,True,False,3027
0.505,0.4,0.125,0.583,0.246,0.13,0.175,7,False,False,59
0.58,0.445,0.135,0.814,0.3775,0.1915,0.22,9,False,True,1146
0.59,0.45,0.185,1.283,0.473,0.276,0.425,16,False,True,337
0.44,0.335,0.11,0.3885,0.175,0.0835,0.111,7,True,False,2560
0.68,0.545,0.185,1.672,0.7075,0.364,0.48,11,False,True,4102
0.5,0.375,0.12,0.542,0.215,0.116,0.17,9,True,False,1100
0.63,0.49,0.17,1.217,0.5515,0.212,0.31,11,True,False,3688
0.28,0.215,0.07,0.124,0.063,0.0215,0.03,6,True,False,4149
0.43,0.33,0.095,0.34,0.1315,0.085,0.112,14,False,True,3342
0.49,0.39,0.15,0.573,0.225,0.124,0.17,21,False,True,673
0.36,0.27,0.09,0.219,0.097,0.0405,0.065,6,True,False,3432
0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905,15,False,True,785
0.7,0.55,0.2,1.523,0.693,0.306,0.4405,13,False,True,2705
0.52,0.395,0.115,0.6445,0.3155,0.1245,0.186,11,True,False,3030
0.57,0.44,0.19,1.018,0.447,0.207,0.265,9,False,False,3859
0.435,0.325,0.11,0.4335,0.178,0.0985,0.155,7,False,False,402
0.36,0.265,0.085,0.1865,0.0675,0.037,0.0615,7,True,False,3746
0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7,False,True,51
0.645,0.515,0.24,1.5415,0.471,0.369,0.535,13,False,True,307
0.475,0.365,0.12,0.53,0.2505,0.0975,0.1625,10,True,False,2516
0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9,False,False,120
0.615,0.49,0.19,1.1345,0.4695,0.257,0.348,11,False,False,3503
0.425,0.32,0.085,0.262,0.1235,0.067,0.0725,8,True,False,3088
0.645,0.5,0.2,1.4285,0.639,0.305,0.36,11,False,False,2253
0.565,0.455,0.15,0.8205,0.365,0.159,0.26,18,False,False,449
0.455,0.375,0.125,0.458,0.1985,0.111,0.12,10,False,False,3909
0.555,0.425,0.13,0.648,0.2835,0.133,0.2105,8,True,False,2660
0.35,0.26,0.095,0.221,0.0985,0.043,0.07,8,True,False,3813
0.565,0.455,0.155,0.9355,0.421,0.183,0.26,11,False,True,1890
0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775,6,True,False,1237
0.37,0.275,0.14,0.2215,0.097,0.0455,0.0615,6,True,False,821
0.35,0.265,0.08,0.192,0.081,0.0465,0.053,6,True,False,3407
0.58,0.445,0.15,0.858,0.4,0.156,0.253,8,False,False,1339
0.51,0.395,0.145,0.6185,0.216,0.1385,0.24,12,False,True,2255
0.625,0.515,0.17,1.331,0.5725,0.3005,0.361,9,False,True,1937
0.37,0.275,0.1,0.2295,0.0885,0.0465,0.07,7,True,False,680
0.48,0.35,0.105,0.635,0.352,0.127,0.135,6,True,False,4001
0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,12,False,False,2372
0.61,0.475,0.15,1.142,0.62,0.237,0.245,9,False,True,4010
0.405,0.305,0.12,0.3185,0.1235,0.0905,0.095,7,False,True,805
0.62,0.435,0.155,1.012,0.477,0.236,0.275,8,False,False,1495
0.63,0.515,0.16,1.336,0.553,0.3205,0.35,11,False,False,4063
0.585,0.455,0.125,1.027,0.391,0.212,0.25,17,False,True,2357
0.39,0.28,0.09,0.215,0.0845,0.034,0.079,8,True,False,3013
0.525,0.415,0.135,0.7945,0.394,0.189,0.202,7,False,True,2579
0.61,0.47,0.16,1.0745,0.4925,0.236,0.29,8,False,False,3458
0.57,0.46,0.155,1.0005,0.454,0.205,0.265,11,False,True,1894
0.525,0.405,0.16,0.658,0.2655,0.1125,0.225,12,False,False,625
0.63,0.505,0.165,1.065,0.4595,0.216,0.315,12,False,False,2365
0.505,0.4,0.155,0.8415,0.2715,0.1775,0.285,12,False,True,2497
0.63,0.505,0.175,1.221,0.555,0.252,0.34,12,False,True,2793
0.5,0.4,0.12,0.616,0.261,0.143,0.1935,8,True,False,1580
0.375,0.285,0.09,0.257,0.1045,0.062,0.075,7,True,False,3435
0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,18,False,True,2363
0.59,0.46,0.145,0.9015,0.419,0.1785,0.26,11,True,False,1650
0.385,0.3,0.09,0.247,0.1225,0.044,0.0675,5,True,False,1435
0.34,0.26,0.08,0.2,0.08,0.0555,0.055,6,True,False,347
0.425,0.31,0.095,0.3505,0.1645,0.071,0.1,8,True,False,3806
0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9,True,False,112
0.485,0.375,0.135,0.556,0.1925,0.1315,0.1685,10,False,False,791
0.525,0.38,0.135,0.615,0.261,0.159,0.175,8,True,False,1593
0.74,0.535,0.185,1.65,0.734,0.4505,0.335,13,False,True,3388
0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,9,False,True,1147
0.55,0.415,0.145,0.7815,0.373,0.16,0.2215,8,True,False,1614
0.585,0.455,0.17,0.9945,0.4255,0.263,0.2845,11,False,False,4161
0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15,False,True,273
0.51,0.38,0.115,0.5155,0.215,0.1135,0.166,8,True,False,1107
0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12,False,False,252
0.435,0.375,0.11,0.4155,0.17,0.076,0.145,8,True,False,3750
0.56,0.435,0.18,0.889,0.36,0.204,0.25,11,False,True,508
0.56,0.455,0.16,0.967,0.4525,0.207,0.274,9,False,False,982
0.55,0.425,0.15,0.806,0.376,0.171,0.245,14,True,False,581
0.46,0.35,0.115,0.46,0.2025,0.1115,0.1165,6,False,False,2567
0.575,0.45,0.165,0.9215,0.3275,0.225,0.256,12,False,True,793
0.295,0.22,0.065,0.1295,0.052,0.028,0.035,6,True,False,3966
0.585,0.46,0.17,1.0835,0.3745,0.326,0.325,14,False,False,3212
0.645,0.495,0.185,1.4935,0.5265,0.2785,0.455,15,False,True,2191
0.455,0.355,0.12,0.4495,0.177,0.104,0.15,9,False,False,282
0.455,0.33,0.1,0.372,0.358,0.0775,0.11,8,True,False,1264
0.465,0.355,0.115,0.4705,0.1955,0.118,0.126,7,False,False,3441
0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9,False,False,2
0.36,0.27,0.09,0.2225,0.083,0.053,0.075,6,False,True,2248
0.555,0.45,0.175,0.738,0.304,0.1755,0.22,9,True,False,1885
0.355,0.27,0.105,0.271,0.1425,0.0525,0.0735,9,True,False,2000
0.42,0.325,0.115,0.314,0.1295,0.0635,0.1,8,True,False,2734
0.48,0.365,0.12,0.6015,0.312,0.117,0.14,7,False,True,952
0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,18,False,False,318
0.52,0.405,0.12,0.627,0.2645,0.1415,0.181,11,False,False,473
0.59,0.47,0.15,0.9955,0.481,0.232,0.24,8,False,True,1152
0.645,0.5,0.15,1.159,0.4675,0.3355,0.31,9,False,False,4055
0.455,0.355,0.105,0.372,0.138,0.0765,0.135,9,True,False,3021
0.525,0.375,0.12,0.6315,0.3045,0.114,0.19,9,True,False,2757
0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,10,False,False,2295
0.625,0.515,0.155,1.1635,0.4875,0.259,0.355,11,False,False,3059
0.43,0.34,0.11,0.382,0.154,0.0955,0.109,8,False,False,2376
0.425,0.325,0.11,0.317,0.135,0.048,0.09,8,True,False,1557
0.58,0.46,0.175,1.165,0.65,0.2205,0.3055,9,False,False,1480
0.55,0.43,0.15,0.84,0.395,0.195,0.223,8,False,False,1124
0.565,0.415,0.125,0.667,0.302,0.1545,0.185,7,False,True,1889
0.43,0.325,0.105,0.309,0.119,0.08,0.098,6,True,False,3537
0.59,0.455,0.145,1.063,0.5155,0.2445,0.25,8,False,False,998
0.375,0.29,0.08,0.282,0.1405,0.0725,0.08,7,False,False,2117
0.695,0.525,0.175,1.742,0.696,0.389,0.505,12,False,True,2621
0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,20,False,False,416
0.385,0.29,0.09,0.2365,0.1,0.0505,0.076,8,True,False,1548
0.5,0.395,0.145,0.7865,0.332,0.1815,0.2455,8,True,False,3726
0.55,0.425,0.15,0.8315,0.411,0.1765,0.2165,10,False,True,1125
0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,14,False,False,341
0.6,0.475,0.23,1.157,0.522,0.2235,0.36,11,False,True,3577
0.59,0.44,0.15,0.8725,0.387,0.215,0.245,8,False,True,1483
0.705,0.555,0.215,2.141,1.0465,0.383,0.528,11,False,True,1418
0.63,0.495,0.2,1.4255,0.659,0.336,0.38,11,False,False,2609
0.68,0.53,0.18,1.529,0.7635,0.3115,0.4025,11,False,True,2703
0.625,0.475,0.16,1.0845,0.5005,0.2355,0.3105,10,False,True,1689
0.645,0.5,0.18,1.461,0.5985,0.2425,0.439,11,False,True,3103
0.475,0.385,0.11,0.5735,0.311,0.1025,0.136,7,True,False,2572
0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,8,False,False,992
0.46,0.355,0.11,0.415,0.215,0.082,0.13,12,False,True,3275
0.365,0.27,0.085,0.196,0.0825,0.0375,0.06,7,True,False,1230
0.535,0.41,0.12,0.6835,0.3125,0.1655,0.159,8,False,True,3033
0.455,0.375,0.125,0.484,0.2155,0.102,0.165,7,False,True,3258
0.44,0.355,0.165,0.435,0.159,0.105,0.14,16,True,False,2402
0.18,0.125,0.05,0.023,0.0085,0.0055,0.01,3,False,True,2371
0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14,False,False,214
0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,9,False,True,3174
0.615,0.455,0.15,0.9335,0.382,0.247,0.2615,10,False,True,2932
0.55,0.42,0.13,0.636,0.294,0.144,0.1755,8,True,False,2658
0.41,0.325,0.11,0.326,0.1325,0.075,0.101,8,True,False,2732
0.345,0.27,0.11,0.2135,0.082,0.0545,0.07,7,True,False,249
0.61,0.485,0.145,1.3305,0.783,0.2255,0.2865,9,False,True,1162
0.67,0.52,0.19,1.32,0.5235,0.3095,0.4275,13,False,False,1736
0.405,0.31,0.065,0.3205,0.1575,0.066,0.088,6,True,False,2558
0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,9,False,False,1157
0.645,0.515,0.185,1.4605,0.5835,0.3155,0.41,19,False,True,3392
0.625,0.515,0.16,1.264,0.5715,0.326,0.321,9,False,False,1382
0.34,0.275,0.09,0.2065,0.0725,0.043,0.07,10,False,True,2375
0.64,0.525,0.215,1.779,0.4535,0.2855,0.55,22,False,False,270
0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225,8,False,False,1325
0.52,0.4,0.13,0.5825,0.233,0.1365,0.18,10,True,False,1293
0.43,0.335,0.115,0.406,0.166,0.0935,0.135,8,False,True,2258
0.375,0.285,0.09,0.2545,0.119,0.0595,0.0675,6,True,False,2820
0.625,0.485,0.2,1.38,0.5845,0.302,0.401,9,False,False,1015
0.525,0.39,0.12,0.664,0.3115,0.147,0.178,9,True,False,1592
0.62,0.5,0.18,1.3915,0.726,0.2795,0.332,11,False,True,3682
0.4,0.335,0.115,0.4335,0.2105,0.1205,0.12,10,False,False,3267
0.35,0.27,0.09,0.2055,0.075,0.0575,0.062,6,True,False,817
0.6,0.465,0.165,1.038,0.4975,0.2205,0.251,9,False,True,1799
0.62,0.51,0.15,1.456,0.581,0.2875,0.32,13,False,False,2263
0.385,0.265,0.08,0.251,0.124,0.037,0.07,6,True,False,916
0.565,0.46,0.155,0.8715,0.3755,0.215,0.25,10,True,False,1893
0.5,0.375,0.12,0.529,0.2235,0.123,0.16,8,True,False,2827
0.535,0.42,0.145,0.791,0.33,0.189,0.25,10,False,True,381
0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33,11,False,False,659
0.695,0.55,0.205,2.173,1.133,0.4665,0.496,10,False,True,3961
0.55,0.435,0.16,0.906,0.342,0.219,0.295,13,False,True,3246
0.55,0.44,0.16,0.991,0.348,0.168,0.375,20,False,True,3944
0.565,0.43,0.15,0.8215,0.332,0.1685,0.29,11,True,False,2769
