buying,maint,doors,persons,lug_boot,safety,CAR,sampleNum,estimate,portion_to_leave,error_threshold
med,vhigh,2,2,big,high,unacc,872,unacc,0.5,0.0001
med,low,5more,more,big,low,unacc,1293,unacc,0.5,0.0001
med,low,3,more,small,low,unacc,1233,unacc,0.5,0.0001
low,high,4,2,big,low,unacc,1464,unacc,0.5,0.0001
med,med,5more,4,med,low,unacc,1173,unacc,0.5,0.0001
high,low,5more,2,small,low,unacc,837,unacc,0.5,0.0001
high,high,4,more,big,low,unacc,618,unacc,0.5,0.0001
vhigh,vhigh,4,2,med,low,unacc,57,unacc,0.5,0.0001
high,vhigh,2,2,big,med,unacc,439,unacc,0.5,0.0001
high,low,2,4,med,low,unacc,768,unacc,0.5,0.0001
high,med,3,more,small,med,unacc,694,unacc,0.5,0.0001
high,vhigh,3,more,big,high,unacc,485,unacc,0.5,0.0001
vhigh,high,3,2,med,low,unacc,138,unacc,0.5,0.0001
low,low,4,2,big,high,unacc,1682,unacc,0.5,0.0001
vhigh,low,4,2,med,low,unacc,381,unacc,0.5,0.0001
med,high,4,4,small,med,unacc,1036,acc,0.5,0.0001
high,med,2,more,med,med,unacc,670,acc,0.5,0.0001
high,high,2,2,big,high,unacc,548,unacc,0.5,0.0001
med,med,4,4,med,low,unacc,1146,unacc,0.5,0.0001
low,vhigh,2,2,big,high,unacc,1304,unacc,0.5,0.0001
med,high,5more,4,small,med,unacc,1063,acc,0.5,0.0001
low,low,5more,4,med,low,unacc,1713,unacc,0.5,0.0001
med,high,5more,more,small,low,unacc,1071,unacc,0.5,0.0001
vhigh,high,2,more,big,low,unacc,132,unacc,0.5,0.0001
low,high,4,4,med,low,unacc,1470,unacc,0.5,0.0001
med,high,4,2,small,med,unacc,1027,unacc,0.5,0.0001
med,vhigh,2,more,small,high,unacc,884,acc,0.5,0.0001
vhigh,med,3,4,med,med,unacc,256,acc,0.5,0.0001
high,high,3,2,big,low,unacc,573,unacc,0.5,0.0001
high,med,5more,2,med,low,unacc,732,unacc,0.5,0.0001
high,high,5more,more,big,low,unacc,645,unacc,0.5,0.0001
low,vhigh,3,2,big,high,unacc,1331,unacc,0.5,0.0001
low,low,5more,2,small,low,unacc,1701,unacc,0.5,0.0001
med,high,5more,more,small,med,unacc,1072,acc,0.5,0.0001
vhigh,high,3,more,med,low,unacc,156,unacc,0.5,0.0001
vhigh,low,2,4,med,low,unacc,336,unacc,0.5,0.0001
high,med,5more,2,big,high,unacc,737,unacc,0.5,0.0001
high,vhigh,3,4,small,low,unacc,468,unacc,0.5,0.0001
vhigh,low,4,4,small,low,unacc,387,unacc,0.5,0.0001
med,high,2,4,big,low,unacc,987,unacc,0.5,0.0001
vhigh,low,2,more,med,med,unacc,346,acc,0.5,0.0001
low,med,5more,2,med,med,unacc,1597,unacc,0.5,0.0001
high,high,4,2,big,med,unacc,601,unacc,0.5,0.0001
low,high,5more,2,big,med,unacc,1492,unacc,0.5,0.0001
vhigh,low,5more,4,small,low,unacc,414,unacc,0.5,0.0001
vhigh,high,2,more,med,low,unacc,129,unacc,0.5,0.0001
med,high,2,more,med,med,unacc,994,acc,0.5,0.0001
low,high,2,2,small,high,unacc,1406,unacc,0.5,0.0001
med,vhigh,3,2,med,low,unacc,894,unacc,0.5,0.0001
vhigh,vhigh,2,4,small,med,unacc,10,unacc,0.5,0.0001
low,med,5more,2,big,low,unacc,1599,unacc,0.5,0.0001
low,high,4,2,big,high,unacc,1466,unacc,0.5,0.0001
med,low,4,more,big,low,unacc,1266,unacc,0.5,0.0001
vhigh,med,3,2,big,low,unacc,249,unacc,0.5,0.0001
low,high,4,2,med,high,unacc,1463,unacc,0.5,0.0001
med,med,4,2,med,med,unacc,1138,unacc,0.5,0.0001
vhigh,vhigh,2,4,big,med,unacc,16,unacc,0.5,0.0001
med,med,4,2,med,high,unacc,1139,unacc,0.5,0.0001
vhigh,med,5more,4,small,med,unacc,307,unacc,0.5,0.0001
high,high,4,4,med,low,unacc,606,unacc,0.5,0.0001
low,high,2,4,med,low,unacc,1416,unacc,0.5,0.0001
high,med,3,2,big,high,unacc,683,unacc,0.5,0.0001
low,low,2,more,small,high,unacc,1640,good,0.5,0.0001
med,vhigh,5more,4,small,med,unacc,955,unacc,0.5,0.0001
med,high,4,2,big,low,unacc,1032,unacc,0.5,0.0001
high,vhigh,2,4,big,high,unacc,449,unacc,0.5,0.0001
med,high,3,2,med,high,unacc,1004,unacc,0.5,0.0001
vhigh,high,2,more,small,high,unacc,128,unacc,0.5,0.0001
vhigh,med,4,more,small,med,unacc,289,unacc,0.5,0.0001
vhigh,high,4,2,small,low,unacc,162,unacc,0.5,0.0001
vhigh,low,3,2,med,low,unacc,354,unacc,0.5,0.0001
med,med,4,more,small,low,unacc,1152,unacc,0.5,0.0001
high,vhigh,4,4,small,low,unacc,495,unacc,0.5,0.0001
vhigh,low,2,4,small,low,unacc,333,unacc,0.5,0.0001
vhigh,high,2,2,small,med,unacc,109,unacc,0.5,0.0001
low,med,3,4,big,low,unacc,1554,unacc,0.5,0.0001
high,high,2,more,small,med,unacc,559,unacc,0.5,0.0001
vhigh,med,2,2,med,med,unacc,220,unacc,0.5,0.0001
med,med,2,more,small,low,unacc,1098,unacc,0.5,0.0001
vhigh,high,2,4,med,low,unacc,120,unacc,0.5,0.0001
low,low,2,more,med,low,unacc,1641,unacc,0.5,0.0001
med,vhigh,5more,2,big,med,unacc,952,unacc,0.5,0.0001
vhigh,high,3,2,small,med,unacc,136,unacc,0.5,0.0001
low,low,3,4,med,low,unacc,1659,unacc,0.5,0.0001
high,high,2,2,small,med,unacc,541,unacc,0.5,0.0001
high,vhigh,4,4,big,high,unacc,503,unacc,0.5,0.0001
high,vhigh,3,2,small,med,unacc,460,unacc,0.5,0.0001
high,low,4,2,small,low,unacc,810,unacc,0.5,0.0001
med,high,3,more,big,low,unacc,1023,unacc,0.5,0.0001
vhigh,vhigh,3,4,big,high,unacc,44,unacc,0.5,0.0001
med,low,2,2,med,med,unacc,1192,unacc,0.5,0.0001
vhigh,high,4,2,med,low,unacc,165,unacc,0.5,0.0001
med,low,4,4,med,low,unacc,1254,unacc,0.5,0.0001
vhigh,high,2,4,big,med,unacc,124,unacc,0.5,0.0001
med,med,3,2,big,low,unacc,1113,unacc,0.5,0.0001
high,low,5more,more,big,low,unacc,861,unacc,0.5,0.0001
high,high,5more,2,med,low,unacc,624,unacc,0.5,0.0001
vhigh,high,5more,4,med,high,unacc,203,unacc,0.5,0.0001
low,high,4,2,small,low,unacc,1458,unacc,0.5,0.0001
vhigh,vhigh,2,4,med,low,unacc,12,unacc,0.5,0.0001
low,low,2,2,small,med,unacc,1621,unacc,0.5,0.0001
vhigh,vhigh,2,more,big,high,unacc,26,unacc,0.5,0.0001
low,vhigh,5more,2,med,low,unacc,1380,unacc,0.5,0.0001
high,high,4,more,small,low,unacc,612,unacc,0.5,0.0001
high,high,2,4,small,med,unacc,550,unacc,0.5,0.0001
vhigh,med,2,4,big,low,unacc,231,unacc,0.5,0.0001
high,med,4,2,med,low,unacc,705,unacc,0.5,0.0001
low,high,4,2,med,low,unacc,1461,unacc,0.5,0.0001
low,low,3,2,small,med,unacc,1648,unacc,0.5,0.0001
med,low,2,more,big,low,unacc,1212,unacc,0.5,0.0001
vhigh,vhigh,2,more,med,high,unacc,23,unacc,0.5,0.0001
vhigh,vhigh,3,4,big,low,unacc,42,unacc,0.5,0.0001
high,low,3,more,big,low,unacc,807,unacc,0.5,0.0001
med,low,5more,2,med,med,unacc,1273,unacc,0.5,0.0001
med,high,4,4,small,low,unacc,1035,unacc,0.5,0.0001
low,med,3,2,med,low,unacc,1542,unacc,0.5,0.0001
high,med,4,2,med,high,unacc,707,unacc,0.5,0.0001
vhigh,med,3,more,small,med,unacc,262,unacc,0.5,0.0001
med,med,2,2,small,med,unacc,1081,unacc,0.5,0.0001
high,high,2,2,big,low,unacc,546,unacc,0.5,0.0001
low,med,2,more,small,low,unacc,1530,unacc,0.5,0.0001
high,vhigh,2,4,small,high,unacc,443,unacc,0.5,0.0001
low,low,2,2,med,med,unacc,1624,unacc,0.5,0.0001
high,vhigh,4,2,big,high,unacc,494,unacc,0.5,0.0001
vhigh,vhigh,3,4,big,med,unacc,43,unacc,0.5,0.0001
vhigh,low,4,more,small,med,unacc,397,unacc,0.5,0.0001
med,low,3,2,med,med,unacc,1219,unacc,0.5,0.0001
high,vhigh,5more,more,big,med,unacc,538,unacc,0.5,0.0001
low,vhigh,2,more,small,med,unacc,1315,unacc,0.5,0.0001
high,low,5more,2,big,med,unacc,844,unacc,0.5,0.0001
vhigh,high,5more,2,med,med,unacc,193,unacc,0.5,0.0001
vhigh,low,2,more,small,high,unacc,344,acc,0.5,0.0001
vhigh,low,5more,2,small,low,unacc,405,unacc,0.5,0.0001
vhigh,high,2,more,big,high,unacc,134,unacc,0.5,0.0001
high,med,2,more,big,low,unacc,672,unacc,0.5,0.0001
vhigh,low,2,4,med,med,unacc,337,acc,0.5,0.0001
low,vhigh,3,more,big,low,unacc,1347,unacc,0.5,0.0001
high,low,3,more,small,low,unacc,801,unacc,0.5,0.0001
med,low,5more,2,big,high,unacc,1277,unacc,0.5,0.0001
low,high,5more,2,small,med,unacc,1486,unacc,0.5,0.0001
low,vhigh,2,more,big,low,unacc,1320,unacc,0.5,0.0001
high,vhigh,2,more,small,med,unacc,451,unacc,0.5,0.0001
vhigh,low,2,more,small,med,unacc,343,unacc,0.5,0.0001
vhigh,med,5more,2,small,high,unacc,299,unacc,0.5,0.0001
med,med,2,more,med,low,unacc,1101,unacc,0.5,0.0001
med,high,5more,2,big,high,unacc,1061,unacc,0.5,0.0001
vhigh,vhigh,4,2,small,high,unacc,56,unacc,0.5,0.0001
high,low,2,4,small,low,unacc,765,unacc,0.5,0.0001
med,low,3,2,big,high,unacc,1223,unacc,0.5,0.0001
vhigh,vhigh,5more,2,med,high,unacc,86,unacc,0.5,0.0001
low,low,4,2,med,low,unacc,1677,unacc,0.5,0.0001
vhigh,high,4,more,big,med,unacc,187,unacc,0.5,0.0001
med,med,2,more,small,med,unacc,1099,acc,0.5,0.0001
med,high,3,2,small,high,unacc,1001,unacc,0.5,0.0001
vhigh,vhigh,3,more,small,low,unacc,45,unacc,0.5,0.0001
low,vhigh,4,2,small,high,unacc,1352,unacc,0.5,0.0001
high,med,2,2,med,med,unacc,652,unacc,0.5,0.0001
vhigh,vhigh,5more,4,small,low,unacc,90,unacc,0.5,0.0001
high,high,4,2,med,high,unacc,599,unacc,0.5,0.0001
high,med,5more,more,med,low,unacc,750,unacc,0.5,0.0001
vhigh,low,4,more,big,low,unacc,402,unacc,0.5,0.0001
vhigh,low,5more,4,big,high,acc,422,acc,0.5,0.0001
med,low,3,4,med,med,acc,1228,good,0.5,0.0001
med,low,3,4,small,med,acc,1225,acc,0.5,0.0001
low,high,4,more,big,med,acc,1483,acc,0.5,0.0001
high,high,4,more,small,high,acc,614,acc,0.5,0.0001
med,med,3,4,med,med,acc,1120,acc,0.5,0.0001
low,vhigh,2,more,big,high,acc,1322,acc,0.5,0.0001
med,vhigh,4,more,small,high,acc,938,acc,0.5,0.0001
vhigh,med,5more,4,small,high,acc,308,acc,0.5,0.0001
high,med,4,4,med,med,acc,715,acc,0.5,0.0001
high,med,2,4,big,high,acc,665,acc,0.5,0.0001
low,high,2,4,med,med,acc,1417,acc,0.5,0.0001
high,med,4,more,big,med,acc,727,acc,0.5,0.0001
vhigh,med,5more,more,med,med,acc,319,acc,0.5,0.0001
low,high,3,more,small,med,acc,1450,acc,0.5,0.0001
low,high,3,4,med,high,acc,1445,vgood,0.5,0.0001
high,med,3,4,small,high,acc,686,acc,0.5,0.0001
vhigh,low,4,4,big,high,acc,395,acc,0.5,0.0001
med,med,5more,more,small,med,acc,1180,acc,0.5,0.0001
vhigh,low,4,4,med,med,acc,391,acc,0.5,0.0001
vhigh,low,3,more,med,high,acc,374,acc,0.5,0.0001
vhigh,med,5more,4,big,high,acc,314,acc,0.5,0.0001
high,high,5more,4,big,high,acc,638,acc,0.5,0.0001
high,high,5more,more,small,high,acc,641,acc,0.5,0.0001
med,vhigh,2,4,big,med,acc,880,acc,0.5,0.0001
low,high,5more,4,big,med,acc,1501,acc,0.5,0.0001
low,vhigh,5more,4,big,high,acc,1394,acc,0.5,0.0001
med,vhigh,5more,more,small,high,acc,965,acc,0.5,0.0001
high,low,4,more,big,high,acc,836,acc,0.5,0.0001
high,med,5more,more,med,high,acc,752,acc,0.5,0.0001
low,vhigh,5more,more,big,med,acc,1402,acc,0.5,0.0001
high,med,3,4,big,high,acc,692,acc,0.5,0.0001
high,low,4,4,big,high,acc,827,acc,0.5,0.0001
vhigh,low,4,4,med,high,acc,392,acc,0.5,0.0001
med,high,4,more,med,med,acc,1048,acc,0.5,0.0001
med,high,2,4,small,high,acc,983,acc,0.5,0.0001
vhigh,low,5more,more,big,high,acc,431,acc,0.5,0.0001
med,vhigh,4,more,big,high,acc,944,acc,0.5,0.0001
med,high,3,more,med,med,acc,1021,acc,0.5,0.0001
med,vhigh,3,more,small,high,acc,911,acc,0.5,0.0001
low,vhigh,3,more,big,high,acc,1349,acc,0.5,0.0001
high,high,2,more,med,high,acc,563,acc,0.5,0.0001
med,vhigh,2,more,big,high,acc,890,acc,0.5,0.0001
med,med,4,more,small,med,acc,1153,acc,0.5,0.0001
med,low,4,more,small,med,acc,1261,acc,0.5,0.0001
low,high,5more,more,big,med,acc,1510,acc,0.5,0.0001
high,low,5more,more,med,med,acc,859,acc,0.5,0.0001
med,low,2,4,small,med,acc,1198,acc,0.5,0.0001
med,high,2,4,big,high,acc,989,acc,0.5,0.0001
med,med,4,4,small,high,acc,1145,acc,0.5,0.0001
low,vhigh,5more,4,med,high,acc,1391,acc,0.5,0.0001
high,high,3,more,med,med,acc,589,acc,0.5,0.0001
low,med,3,4,med,med,acc,1552,good,0.5,0.0001
vhigh,med,3,more,small,high,acc,263,acc,0.5,0.0001
high,low,3,more,big,med,acc,808,acc,0.5,0.0001
high,low,4,4,med,med,acc,823,acc,0.5,0.0001
vhigh,low,5more,more,big,med,acc,430,acc,0.5,0.0001
high,high,3,more,med,high,acc,590,acc,0.5,0.0001
low,high,5more,more,med,med,acc,1507,acc,0.5,0.0001
low,vhigh,5more,more,big,high,acc,1403,acc,0.5,0.0001
vhigh,med,2,4,big,high,acc,233,acc,0.5,0.0001
med,high,2,more,big,high,acc,998,acc,0.5,0.0001
vhigh,med,3,more,med,high,acc,266,acc,0.5,0.0001
high,low,5more,more,med,high,acc,860,acc,0.5,0.0001
vhigh,low,4,4,big,med,acc,394,acc,0.5,0.0001
high,high,3,4,big,med,acc,583,acc,0.5,0.0001
high,high,4,4,med,high,acc,608,acc,0.5,0.0001
high,low,2,more,med,high,acc,779,acc,0.5,0.0001
med,vhigh,5more,4,med,high,acc,959,acc,0.5,0.0001
low,vhigh,2,4,big,med,acc,1312,acc,0.5,0.0001
high,low,3,4,big,med,acc,799,acc,0.5,0.0001
high,low,3,4,med,high,acc,797,acc,0.5,0.0001
med,vhigh,4,4,med,high,acc,932,acc,0.5,0.0001
med,vhigh,2,4,med,high,acc,878,acc,0.5,0.0001
low,high,3,more,big,med,acc,1456,acc,0.5,0.0001
high,high,2,more,big,med,acc,565,acc,0.5,0.0001
low,med,5more,4,big,high,vgood,1610,vgood,0.5,0.0001
med,med,3,more,med,high,vgood,1130,vgood,0.5,0.0001
med,med,3,4,big,high,vgood,1124,vgood,0.5,0.0001
med,low,3,more,big,high,vgood,1241,vgood,0.5,0.0001
low,high,4,more,big,high,vgood,1484,vgood,0.5,0.0001
low,low,3,more,big,high,vgood,1673,vgood,0.5,0.0001
med,low,4,4,big,high,vgood,1259,vgood,0.5,0.0001
low,low,5more,more,big,high,vgood,1727,vgood,0.5,0.0001
med,med,4,more,med,high,vgood,1157,vgood,0.5,0.0001
low,med,3,4,big,high,vgood,1556,vgood,0.5,0.0001
med,low,4,4,med,high,vgood,1256,vgood,0.5,0.0001
low,high,2,4,big,high,vgood,1421,vgood,0.5,0.0001
med,low,5more,more,med,high,vgood,1292,vgood,0.5,0.0001
low,med,3,4,med,high,good,1553,vgood,0.5,0.0001
med,low,4,more,small,high,good,1262,good,0.5,0.0001
med,low,4,4,med,med,good,1255,good,0.5,0.0001
low,low,2,4,med,high,good,1634,vgood,0.5,0.0001
low,med,2,4,big,med,good,1528,good,0.5,0.0001
low,med,4,4,big,med,good,1582,good,0.5,0.0001
med,low,3,more,small,high,good,1235,good,0.5,0.0001
low,med,4,more,big,med,good,1591,good,0.5,0.0001
low,med,2,4,small,high,good,1523,good,0.5,0.0001
low,low,3,more,med,med,good,1669,good,0.5,0.0001
low,med,5more,more,med,med,good,1615,good,0.5,0.0001
med,low,5more,4,small,high,good,1280,good,0.5,0.0001
low,low,5more,more,med,med,good,1723,good,0.5,0.0001
vhigh,high,5more,more,med,high,unacc,212,unacc,0.75,0.0001
high,low,4,2,med,med,unacc,814,unacc,0.75,0.0001
vhigh,low,2,2,big,high,unacc,332,unacc,0.75,0.0001
vhigh,vhigh,3,2,big,high,unacc,35,unacc,0.75,0.0001
high,med,4,2,small,high,unacc,704,unacc,0.75,0.0001
vhigh,low,3,2,big,med,unacc,358,unacc,0.75,0.0001
vhigh,high,5more,2,small,med,unacc,190,unacc,0.75,0.0001
vhigh,low,3,4,big,low,unacc,366,unacc,0.75,0.0001
med,med,2,2,small,high,unacc,1082,unacc,0.75,0.0001
low,vhigh,3,4,med,med,unacc,1336,acc,0.75,0.0001
low,vhigh,2,2,big,med,unacc,1303,unacc,0.75,0.0001
vhigh,low,3,2,small,low,unacc,351,unacc,0.75,0.0001
vhigh,high,4,4,med,med,unacc,175,unacc,0.75,0.0001
high,high,5more,4,big,low,unacc,636,unacc,0.75,0.0001
med,vhigh,3,more,small,low,unacc,909,unacc,0.75,0.0001
low,vhigh,5more,2,med,med,unacc,1381,unacc,0.75,0.0001
low,med,4,2,small,high,unacc,1568,unacc,0.75,0.0001
vhigh,vhigh,4,more,med,high,unacc,77,unacc,0.75,0.0001
high,low,5more,2,small,high,unacc,839,unacc,0.75,0.0001
high,vhigh,2,more,med,med,unacc,454,unacc,0.75,0.0001
high,vhigh,5more,4,small,low,unacc,522,unacc,0.75,0.0001
high,vhigh,5more,more,small,high,unacc,533,unacc,0.75,0.0001
med,vhigh,3,2,small,low,unacc,891,unacc,0.75,0.0001
high,high,2,2,small,high,unacc,542,unacc,0.75,0.0001
high,vhigh,4,2,med,med,unacc,490,unacc,0.75,0.0001
vhigh,vhigh,4,4,small,high,unacc,65,unacc,0.75,0.0001
low,low,5more,2,med,high,unacc,1706,unacc,0.75,0.0001
high,low,2,2,med,high,unacc,761,unacc,0.75,0.0001
high,vhigh,4,4,big,med,unacc,502,unacc,0.75,0.0001
high,high,3,4,small,med,unacc,577,unacc,0.75,0.0001
med,low,4,2,med,high,unacc,1247,unacc,0.75,0.0001
med,vhigh,5more,more,small,med,unacc,964,unacc,0.75,0.0001
med,high,3,2,med,med,unacc,1003,unacc,0.75,0.0001
vhigh,high,4,4,big,med,unacc,178,unacc,0.75,0.0001
vhigh,med,3,2,med,low,unacc,246,unacc,0.75,0.0001
low,high,3,more,med,low,unacc,1452,unacc,0.75,0.0001
low,med,5more,more,big,low,unacc,1617,unacc,0.75,0.0001
low,high,2,4,big,low,unacc,1419,unacc,0.75,0.0001
vhigh,high,4,2,med,med,unacc,166,unacc,0.75,0.0001
vhigh,high,3,more,big,med,unacc,160,unacc,0.75,0.0001
med,high,3,2,small,low,unacc,999,unacc,0.75,0.0001
med,vhigh,2,2,med,low,unacc,867,unacc,0.75,0.0001
low,low,2,4,med,low,unacc,1632,unacc,0.75,0.0001
low,low,4,4,med,low,unacc,1686,unacc,0.75,0.0001
high,low,2,2,med,low,unacc,759,unacc,0.75,0.0001
vhigh,low,3,2,small,med,unacc,352,unacc,0.75,0.0001
med,med,3,4,med,low,unacc,1119,unacc,0.75,0.0001
vhigh,low,3,2,small,high,unacc,353,unacc,0.75,0.0001
high,high,3,2,med,med,unacc,571,unacc,0.75,0.0001
vhigh,low,4,2,med,high,unacc,383,unacc,0.75,0.0001
high,med,5more,2,small,high,unacc,731,unacc,0.75,0.0001
low,vhigh,3,2,big,low,unacc,1329,unacc,0.75,0.0001
high,med,2,2,small,low,unacc,648,unacc,0.75,0.0001
low,low,2,2,big,med,unacc,1627,unacc,0.75,0.0001
vhigh,high,4,4,small,low,unacc,171,unacc,0.75,0.0001
high,high,2,more,big,low,unacc,564,unacc,0.75,0.0001
med,low,4,2,small,low,unacc,1242,unacc,0.75,0.0001
high,vhigh,5more,2,med,high,unacc,518,unacc,0.75,0.0001
high,vhigh,3,2,med,low,unacc,462,unacc,0.75,0.0001
med,high,3,2,small,med,unacc,1000,unacc,0.75,0.0001
vhigh,vhigh,4,2,small,med,unacc,55,unacc,0.75,0.0001
high,vhigh,4,4,med,med,unacc,499,unacc,0.75,0.0001
high,vhigh,5more,2,small,med,unacc,514,unacc,0.75,0.0001
high,low,3,more,small,med,unacc,802,unacc,0.75,0.0001
vhigh,low,3,2,big,high,unacc,359,unacc,0.75,0.0001
med,high,2,2,big,high,unacc,980,unacc,0.75,0.0001
high,vhigh,5more,more,big,high,unacc,539,unacc,0.75,0.0001
vhigh,low,3,4,small,med,unacc,361,unacc,0.75,0.0001
high,low,2,2,med,med,unacc,760,unacc,0.75,0.0001
med,low,3,2,med,low,unacc,1218,unacc,0.75,0.0001
vhigh,low,5more,2,med,low,unacc,408,unacc,0.75,0.0001
vhigh,vhigh,2,4,med,med,unacc,13,unacc,0.75,0.0001
med,med,3,2,med,med,unacc,1111,unacc,0.75,0.0001
med,vhigh,3,4,med,med,unacc,904,acc,0.75,0.0001
vhigh,vhigh,5more,2,small,high,unacc,83,unacc,0.75,0.0001
med,low,3,more,med,low,unacc,1236,unacc,0.75,0.0001
high,med,5more,more,big,low,unacc,753,unacc,0.75,0.0001
med,vhigh,5more,more,big,low,unacc,969,unacc,0.75,0.0001
low,med,2,4,small,low,unacc,1521,unacc,0.75,0.0001
vhigh,vhigh,4,4,big,low,unacc,69,unacc,0.75,0.0001
low,low,2,more,small,med,unacc,1639,acc,0.75,0.0001
med,vhigh,2,2,big,high,unacc,872,unacc,0.75,0.0001
med,low,5more,more,big,low,unacc,1293,unacc,0.75,0.0001
med,low,3,more,small,low,unacc,1233,unacc,0.75,0.0001
low,high,4,2,big,low,unacc,1464,unacc,0.75,0.0001
med,med,5more,4,med,low,unacc,1173,unacc,0.75,0.0001
high,low,5more,2,small,low,unacc,837,unacc,0.75,0.0001
high,high,4,more,big,low,unacc,618,unacc,0.75,0.0001
vhigh,vhigh,4,2,med,low,unacc,57,unacc,0.75,0.0001
high,vhigh,2,2,big,med,unacc,439,unacc,0.75,0.0001
high,low,2,4,med,low,unacc,768,unacc,0.75,0.0001
high,med,3,more,small,med,unacc,694,unacc,0.75,0.0001
high,vhigh,3,more,big,high,unacc,485,unacc,0.75,0.0001
vhigh,high,3,2,med,low,unacc,138,unacc,0.75,0.0001
low,low,4,2,big,high,unacc,1682,unacc,0.75,0.0001
vhigh,low,4,2,med,low,unacc,381,unacc,0.75,0.0001
med,high,4,4,small,med,unacc,1036,acc,0.75,0.0001
high,med,2,more,med,med,unacc,670,acc,0.75,0.0001
high,high,2,2,big,high,unacc,548,unacc,0.75,0.0001
med,med,4,4,med,low,unacc,1146,unacc,0.75,0.0001
low,vhigh,2,2,big,high,unacc,1304,unacc,0.75,0.0001
med,high,5more,4,small,med,unacc,1063,acc,0.75,0.0001
low,low,5more,4,med,low,unacc,1713,unacc,0.75,0.0001
med,high,5more,more,small,low,unacc,1071,unacc,0.75,0.0001
vhigh,high,2,more,big,low,unacc,132,unacc,0.75,0.0001
low,high,4,4,med,low,unacc,1470,unacc,0.75,0.0001
med,high,4,2,small,med,unacc,1027,unacc,0.75,0.0001
med,vhigh,2,more,small,high,unacc,884,acc,0.75,0.0001
vhigh,med,3,4,med,med,unacc,256,acc,0.75,0.0001
high,high,3,2,big,low,unacc,573,unacc,0.75,0.0001
high,med,5more,2,med,low,unacc,732,unacc,0.75,0.0001
high,high,5more,more,big,low,unacc,645,unacc,0.75,0.0001
low,vhigh,3,2,big,high,unacc,1331,unacc,0.75,0.0001
low,low,5more,2,small,low,unacc,1701,unacc,0.75,0.0001
med,high,5more,more,small,med,unacc,1072,acc,0.75,0.0001
vhigh,high,3,more,med,low,unacc,156,unacc,0.75,0.0001
vhigh,low,2,4,med,low,unacc,336,unacc,0.75,0.0001
high,med,5more,2,big,high,unacc,737,unacc,0.75,0.0001
high,vhigh,3,4,small,low,unacc,468,unacc,0.75,0.0001
vhigh,low,4,4,small,low,unacc,387,unacc,0.75,0.0001
med,high,2,4,big,low,unacc,987,unacc,0.75,0.0001
vhigh,low,2,more,med,med,unacc,346,acc,0.75,0.0001
low,med,5more,2,med,med,unacc,1597,unacc,0.75,0.0001
high,high,4,2,big,med,unacc,601,unacc,0.75,0.0001
low,high,5more,2,big,med,unacc,1492,unacc,0.75,0.0001
vhigh,low,5more,4,small,low,unacc,414,unacc,0.75,0.0001
vhigh,high,2,more,med,low,unacc,129,unacc,0.75,0.0001
med,high,2,more,med,med,unacc,994,acc,0.75,0.0001
low,high,2,2,small,high,unacc,1406,unacc,0.75,0.0001
med,vhigh,3,2,med,low,unacc,894,unacc,0.75,0.0001
vhigh,vhigh,2,4,small,med,unacc,10,unacc,0.75,0.0001
low,med,5more,2,big,low,unacc,1599,unacc,0.75,0.0001
low,high,4,2,big,high,unacc,1466,unacc,0.75,0.0001
med,low,4,more,big,low,unacc,1266,unacc,0.75,0.0001
vhigh,med,3,2,big,low,unacc,249,unacc,0.75,0.0001
low,high,4,2,med,high,unacc,1463,unacc,0.75,0.0001
med,med,4,2,med,med,unacc,1138,unacc,0.75,0.0001
vhigh,vhigh,2,4,big,med,unacc,16,unacc,0.75,0.0001
med,med,4,2,med,high,unacc,1139,unacc,0.75,0.0001
vhigh,med,5more,4,small,med,unacc,307,unacc,0.75,0.0001
high,high,4,4,med,low,unacc,606,unacc,0.75,0.0001
low,high,2,4,med,low,unacc,1416,unacc,0.75,0.0001
high,med,3,2,big,high,unacc,683,unacc,0.75,0.0001
low,low,2,more,small,high,unacc,1640,good,0.75,0.0001
med,vhigh,5more,4,small,med,unacc,955,unacc,0.75,0.0001
med,high,4,2,big,low,unacc,1032,unacc,0.75,0.0001
high,vhigh,2,4,big,high,unacc,449,unacc,0.75,0.0001
med,high,3,2,med,high,unacc,1004,unacc,0.75,0.0001
vhigh,high,2,more,small,high,unacc,128,unacc,0.75,0.0001
vhigh,med,4,more,small,med,unacc,289,unacc,0.75,0.0001
vhigh,high,4,2,small,low,unacc,162,unacc,0.75,0.0001
vhigh,low,3,2,med,low,unacc,354,unacc,0.75,0.0001
med,med,4,more,small,low,unacc,1152,unacc,0.75,0.0001
high,vhigh,4,4,small,low,unacc,495,unacc,0.75,0.0001
vhigh,low,2,4,small,low,unacc,333,unacc,0.75,0.0001
vhigh,high,2,2,small,med,unacc,109,unacc,0.75,0.0001
low,med,3,4,big,low,unacc,1554,unacc,0.75,0.0001
high,high,2,more,small,med,unacc,559,unacc,0.75,0.0001
vhigh,med,2,2,med,med,unacc,220,unacc,0.75,0.0001
med,med,2,more,small,low,unacc,1098,unacc,0.75,0.0001
vhigh,high,2,4,med,low,unacc,120,unacc,0.75,0.0001
low,low,2,more,med,low,unacc,1641,unacc,0.75,0.0001
med,vhigh,5more,2,big,med,unacc,952,unacc,0.75,0.0001
vhigh,high,3,2,small,med,unacc,136,unacc,0.75,0.0001
low,low,3,4,med,low,unacc,1659,unacc,0.75,0.0001
