Class Name,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,sampleNum,estimate,portion_to_leave,error_threshold
republican,n,y,n,y,y,y,n,n,n,n,y,?,y,y,?,?,11,republican,1.0,0.0001
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,303,republican,1.0,0.0001
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,250,republican,1.0,0.0001
republican,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y,117,republican,1.0,0.0001
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,?,304,republican,1.0,0.0001
republican,n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y,111,republican,1.0,0.0001
republican,n,n,n,y,y,y,?,?,?,?,n,y,y,y,n,y,433,republican,1.0,0.0001
republican,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,y,225,republican,1.0,0.0001
republican,y,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n,347,republican,1.0,0.0001
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,404,republican,1.0,0.0001
republican,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y,176,democrat,1.0,0.0001
republican,n,y,y,y,y,y,y,?,n,n,n,n,?,?,y,?,315,republican,1.0,0.0001
republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y,142,republican,1.0,0.0001
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,154,republican,1.0,0.0001
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,374,republican,1.0,0.0001
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,?,1,republican,1.0,0.0001
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,y,n,276,republican,1.0,0.0001
republican,y,n,y,y,n,n,n,y,y,y,n,n,n,y,y,y,355,democrat,1.0,0.0001
republican,y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,339,republican,1.0,0.0001
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n,35,republican,1.0,0.0001
democrat,y,y,y,n,y,y,n,y,?,y,n,n,y,y,n,?,323,democrat,1.0,0.0001
democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,110,democrat,1.0,0.0001
democrat,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y,101,democrat,1.0,0.0001
democrat,y,y,y,n,?,n,y,y,y,y,n,n,n,n,y,?,371,democrat,1.0,0.0001
democrat,y,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y,418,democrat,1.0,0.0001
democrat,n,y,y,n,n,y,n,y,y,y,y,n,y,n,y,y,152,democrat,1.0,0.0001
democrat,n,y,y,n,n,y,y,y,y,n,?,n,n,n,n,y,271,democrat,1.0,0.0001
democrat,y,y,n,n,n,n,n,y,y,n,y,n,n,n,y,n,391,democrat,1.0,0.0001
democrat,n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y,213,democrat,1.0,0.0001
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,201,democrat,1.0,0.0001
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,426,democrat,1.0,0.0001
democrat,y,?,y,n,?,?,y,y,y,n,n,n,n,n,y,?,130,democrat,1.0,0.0001
democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y,74,democrat,1.0,0.0001
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,46,democrat,1.0,0.0001
democrat,n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y,153,democrat,1.0,0.0001
democrat,n,n,y,n,n,y,y,y,n,n,y,n,n,y,?,y,336,democrat,1.0,0.0001
democrat,n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y,118,democrat,1.0,0.0001
democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,181,democrat,1.0,0.0001
democrat,?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?,183,democrat,1.0,0.0001
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y,255,democrat,1.0,0.0001
democrat,n,n,y,n,n,n,y,y,y,y,y,?,n,n,y,y,177,democrat,1.0,0.0001
democrat,y,y,n,n,y,?,n,n,n,n,y,n,y,y,n,y,397,democrat,1.0,0.0001
democrat,n,y,y,n,n,n,y,y,y,n,n,n,y,n,?,?,12,democrat,1.0,0.0001
democrat,y,y,y,?,n,n,n,y,n,n,y,?,n,n,y,y,395,democrat,1.0,0.0001
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y,269,democrat,1.0,0.0001
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,?,y,227,democrat,1.0,0.0001
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,23,democrat,1.0,0.0001
democrat,n,y,y,n,n,n,n,y,y,n,y,n,n,y,y,y,219,democrat,1.0,0.0001
democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y,288,democrat,1.0,0.0001
democrat,y,n,y,n,n,n,y,y,y,n,n,n,y,n,y,?,70,democrat,1.0,0.0001
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,27,democrat,1.0,0.0001
democrat,y,y,y,n,y,y,y,y,n,y,y,n,n,n,y,?,367,democrat,1.0,0.0001
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y,43,democrat,1.0,0.0001
democrat,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,?,381,democrat,1.0,0.0001
democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,y,y,y,241,democrat,1.0,0.0001
democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y,280,democrat,1.0,0.0001
democrat,y,n,y,n,n,y,y,y,y,n,n,y,?,y,y,y,408,democrat,1.0,0.0001
democrat,n,y,y,n,n,n,y,y,n,n,y,n,n,n,y,?,232,democrat,1.0,0.0001
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,265,democrat,1.0,0.0001
democrat,?,?,y,n,n,n,y,y,?,n,?,?,?,?,?,?,129,democrat,1.0,0.0001
democrat,y,n,y,n,n,y,y,y,n,n,n,y,y,n,n,y,237,democrat,1.0,0.0001
democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y,116,democrat,1.0,0.0001
democrat,y,y,y,n,n,?,y,y,n,n,y,n,n,n,y,y,20,democrat,1.0,0.0001
democrat,n,?,y,n,?,?,y,y,y,y,?,?,n,n,y,y,115,democrat,1.0,0.0001
democrat,n,y,y,n,n,y,y,y,n,y,y,n,y,y,n,?,294,democrat,1.0,0.0001
democrat,y,n,y,n,n,n,y,y,?,n,y,n,n,n,y,y,249,democrat,1.0,0.0001
democrat,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y,186,democrat,1.0,0.0001
democrat,n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y,192,democrat,1.0,0.0001
democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,344,democrat,1.0,0.0001
democrat,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y,293,democrat,1.0,0.0001
democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y,184,democrat,1.0,0.0001
democrat,n,n,y,n,n,n,y,y,n,y,y,n,n,n,y,?,425,democrat,1.0,0.0001
democrat,y,y,y,?,n,y,y,y,y,n,y,n,y,n,?,y,287,democrat,1.0,0.0001
